"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs","7 segs","8 segs","9 segs","10 segs"
"k=22",0.744186046511628,0.8,0.720930232558139,0.73953488372093,0.730232558139535,0.730232558139535,0.716279069767442,0.734883720930233,0.702325581395349,0.730232558139535
"k=23",0.73953488372093,0.767441860465116,0.730232558139535,0.716279069767442,0.73953488372093,0.706976744186047,0.720930232558139,0.720930232558139,0.706976744186047,0.730232558139535
"k=24",0.772093023255814,0.781395348837209,0.725581395348837,0.725581395348837,0.73953488372093,0.720930232558139,0.720930232558139,0.730232558139535,0.693023255813954,0.734883720930233
"k=25",0.734883720930233,0.748837209302326,0.720930232558139,0.702325581395349,0.720930232558139,0.706976744186047,0.706976744186047,0.711627906976744,0.688372093023256,0.716279069767442
"k=26",0.748837209302326,0.781395348837209,0.720930232558139,0.711627906976744,0.720930232558139,0.711627906976744,0.702325581395349,0.716279069767442,0.702325581395349,0.711627906976744
"k=27",0.693023255813954,0.744186046511628,0.706976744186047,0.720930232558139,0.702325581395349,0.67906976744186,0.697674418604651,0.706976744186047,0.702325581395349,0.706976744186047
"k=28",0.734883720930233,0.734883720930233,0.720930232558139,0.706976744186047,0.725581395348837,0.711627906976744,0.702325581395349,0.711627906976744,0.711627906976744,0.711627906976744
"k=29",0.697674418604651,0.711627906976744,0.697674418604651,0.711627906976744,0.693023255813954,0.706976744186047,0.702325581395349,0.716279069767442,0.702325581395349,0.706976744186047
"k=30",0.725581395348837,0.734883720930233,0.697674418604651,0.725581395348837,0.706976744186047,0.716279069767442,0.711627906976744,0.711627906976744,0.693023255813954,0.716279069767442
"k=31",0.66046511627907,0.706976744186047,0.697674418604651,0.711627906976744,0.702325581395349,0.716279069767442,0.711627906976744,0.711627906976744,0.697674418604651,0.716279069767442
"k=32",0.683720930232558,0.720930232558139,0.697674418604651,0.716279069767442,0.702325581395349,0.720930232558139,0.706976744186047,0.716279069767442,0.697674418604651,0.720930232558139
"k=33",0.665116279069767,0.67906976744186,0.688372093023256,0.702325581395349,0.693023255813954,0.711627906976744,0.706976744186047,0.711627906976744,0.697674418604651,0.706976744186047
"k=34",0.693023255813954,0.702325581395349,0.697674418604651,0.697674418604651,0.697674418604651,0.706976744186047,0.697674418604651,0.720930232558139,0.697674418604651,0.702325581395349
"k=35",0.693023255813954,0.702325581395349,0.702325581395349,0.693023255813954,0.702325581395349,0.706976744186047,0.697674418604651,0.716279069767442,0.706976744186047,0.697674418604651
"k=36",0.697674418604651,0.716279069767442,0.697674418604651,0.693023255813954,0.702325581395349,0.711627906976744,0.711627906976744,0.716279069767442,0.706976744186047,0.702325581395349
"k=37",0.665116279069767,0.683720930232558,0.702325581395349,0.706976744186047,0.706976744186047,0.716279069767442,0.706976744186047,0.716279069767442,0.711627906976744,0.706976744186047
"k=38",0.674418604651163,0.683720930232558,0.693023255813954,0.711627906976744,0.706976744186047,0.711627906976744,0.706976744186047,0.706976744186047,0.711627906976744,0.706976744186047
"k=39",0.665116279069767,0.669767441860465,0.688372093023256,0.702325581395349,0.706976744186047,0.706976744186047,0.706976744186047,0.702325581395349,0.711627906976744,0.706976744186047
"k=40",0.693023255813954,0.67906976744186,0.693023255813954,0.706976744186047,0.706976744186047,0.716279069767442,0.706976744186047,0.706976744186047,0.711627906976744,0.702325581395349
"k=41",0.683720930232558,0.693023255813954,0.693023255813954,0.702325581395349,0.693023255813954,0.711627906976744,0.716279069767442,0.706976744186047,0.711627906976744,0.706976744186047
"k=42",0.697674418604651,0.693023255813954,0.693023255813954,0.706976744186047,0.702325581395349,0.711627906976744,0.706976744186047,0.706976744186047,0.711627906976744,0.702325581395349
"k=43",0.674418604651163,0.683720930232558,0.688372093023256,0.702325581395349,0.693023255813954,0.706976744186047,0.711627906976744,0.706976744186047,0.711627906976744,0.702325581395349
"k=44",0.693023255813954,0.693023255813954,0.693023255813954,0.702325581395349,0.702325581395349,0.706976744186047,0.706976744186047,0.706976744186047,0.711627906976744,0.702325581395349
"k=45",0.683720930232558,0.693023255813954,0.688372093023256,0.702325581395349,0.697674418604651,0.706976744186047,0.711627906976744,0.706976744186047,0.716279069767442,0.706976744186047
"k=46",0.693023255813954,0.697674418604651,0.688372093023256,0.706976744186047,0.702325581395349,0.706976744186047,0.706976744186047,0.706976744186047,0.711627906976744,0.706976744186047
"k=47",0.674418604651163,0.697674418604651,0.683720930232558,0.706976744186047,0.697674418604651,0.706976744186047,0.711627906976744,0.702325581395349,0.706976744186047,0.706976744186047
"k=48",0.683720930232558,0.702325581395349,0.688372093023256,0.706976744186047,0.697674418604651,0.706976744186047,0.711627906976744,0.706976744186047,0.706976744186047,0.706976744186047
"k=49",0.67906976744186,0.697674418604651,0.683720930232558,0.697674418604651,0.697674418604651,0.702325581395349,0.716279069767442,0.702325581395349,0.716279069767442,0.716279069767442
"k=50",0.67906976744186,0.697674418604651,0.688372093023256,0.697674418604651,0.702325581395349,0.702325581395349,0.716279069767442,0.706976744186047,0.711627906976744,0.716279069767442
"k=51",0.665116279069767,0.693023255813954,0.683720930232558,0.697674418604651,0.702325581395349,0.702325581395349,0.711627906976744,0.706976744186047,0.711627906976744,0.716279069767442
"k=52",0.693023255813954,0.697674418604651,0.683720930232558,0.697674418604651,0.702325581395349,0.706976744186047,0.706976744186047,0.711627906976744,0.706976744186047,0.706976744186047
"k=53",0.674418604651163,0.693023255813954,0.67906976744186,0.697674418604651,0.693023255813954,0.702325581395349,0.711627906976744,0.706976744186047,0.702325581395349,0.706976744186047
"k=54",0.683720930232558,0.697674418604651,0.683720930232558,0.697674418604651,0.702325581395349,0.702325581395349,0.706976744186047,0.706976744186047,0.702325581395349,0.706976744186047
