"","1 segs","2 segs","3 segs","4 segs","5 segs","6 segs"
"k=23",0.972093023255814,0.981395348837209,0.972093023255814,0.976744186046512,0.976744186046512,0.990697674418605
"k=24",0.972093023255814,0.986046511627907,0.972093023255814,0.981395348837209,0.972093023255814,0.990697674418605
"k=25",0.967441860465116,0.976744186046512,0.972093023255814,0.976744186046512,0.972093023255814,0.986046511627907
"k=26",0.972093023255814,0.981395348837209,0.972093023255814,0.981395348837209,0.972093023255814,0.986046511627907
"k=27",0.972093023255814,0.981395348837209,0.976744186046512,0.981395348837209,0.972093023255814,0.986046511627907
"k=28",0.972093023255814,0.981395348837209,0.972093023255814,0.981395348837209,0.972093023255814,0.990697674418605
"k=29",0.967441860465116,0.981395348837209,0.972093023255814,0.981395348837209,0.972093023255814,0.990697674418605
"k=30",0.972093023255814,0.981395348837209,0.972093023255814,0.986046511627907,0.972093023255814,0.990697674418605
"k=31",0.967441860465116,0.967441860465116,0.972093023255814,0.981395348837209,0.967441860465116,0.990697674418605
"k=32",0.967441860465116,0.967441860465116,0.972093023255814,0.981395348837209,0.967441860465116,0.990697674418605
"k=33",0.967441860465116,0.967441860465116,0.972093023255814,0.981395348837209,0.967441860465116,0.986046511627907
"k=34",0.967441860465116,0.972093023255814,0.972093023255814,0.976744186046512,0.967441860465116,0.986046511627907
"k=35",0.967441860465116,0.967441860465116,0.972093023255814,0.981395348837209,0.967441860465116,0.981395348837209
"k=36",0.972093023255814,0.967441860465116,0.972093023255814,0.981395348837209,0.967441860465116,0.981395348837209
"k=37",0.972093023255814,0.967441860465116,0.972093023255814,0.981395348837209,0.962790697674419,0.976744186046512
"k=38",0.972093023255814,0.967441860465116,0.972093023255814,0.981395348837209,0.962790697674419,0.976744186046512
"k=39",0.962790697674419,0.967441860465116,0.967441860465116,0.981395348837209,0.962790697674419,0.972093023255814
"k=40",0.967441860465116,0.972093023255814,0.962790697674419,0.981395348837209,0.962790697674419,0.972093023255814
"k=41",0.967441860465116,0.967441860465116,0.967441860465116,0.981395348837209,0.967441860465116,0.967441860465116
"k=42",0.967441860465116,0.967441860465116,0.967441860465116,0.981395348837209,0.962790697674419,0.967441860465116
"k=43",0.967441860465116,0.962790697674419,0.967441860465116,0.981395348837209,0.958139534883721,0.967441860465116
"k=44",0.967441860465116,0.962790697674419,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=45",0.958139534883721,0.958139534883721,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=46",0.962790697674419,0.953488372093023,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=47",0.958139534883721,0.953488372093023,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=48",0.958139534883721,0.958139534883721,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=49",0.953488372093023,0.958139534883721,0.967441860465116,0.976744186046512,0.958139534883721,0.967441860465116
"k=50",0.953488372093023,0.958139534883721,0.967441860465116,0.972093023255814,0.958139534883721,0.967441860465116
"k=51",0.948837209302326,0.958139534883721,0.967441860465116,0.972093023255814,0.953488372093023,0.967441860465116
"k=52",0.948837209302326,0.958139534883721,0.967441860465116,0.972093023255814,0.953488372093023,0.967441860465116
"k=53",0.948837209302326,0.958139534883721,0.967441860465116,0.967441860465116,0.953488372093023,0.967441860465116
"k=54",0.944186046511628,0.958139534883721,0.958139534883721,0.967441860465116,0.953488372093023,0.962790697674419
"k=55",0.93953488372093,0.958139534883721,0.958139534883721,0.967441860465116,0.953488372093023,0.967441860465116
"k=56",0.944186046511628,0.958139534883721,0.953488372093023,0.972093023255814,0.948837209302326,0.962790697674419
"k=57",0.93953488372093,0.958139534883721,0.953488372093023,0.972093023255814,0.93953488372093,0.962790697674419
"k=58",0.93953488372093,0.958139534883721,0.953488372093023,0.972093023255814,0.93953488372093,0.962790697674419
"k=59",0.93953488372093,0.958139534883721,0.953488372093023,0.972093023255814,0.93953488372093,0.953488372093023
"k=60",0.944186046511628,0.953488372093023,0.953488372093023,0.967441860465116,0.93953488372093,0.953488372093023
"k=61",0.93953488372093,0.958139534883721,0.953488372093023,0.962790697674419,0.934883720930233,0.948837209302326
"k=62",0.93953488372093,0.953488372093023,0.953488372093023,0.958139534883721,0.93953488372093,0.948837209302326
"k=63",0.934883720930233,0.953488372093023,0.953488372093023,0.958139534883721,0.93953488372093,0.953488372093023
"k=64",0.934883720930233,0.953488372093023,0.953488372093023,0.958139534883721,0.93953488372093,0.953488372093023
"k=65",0.930232558139535,0.953488372093023,0.953488372093023,0.958139534883721,0.934883720930233,0.953488372093023
"k=66",0.930232558139535,0.953488372093023,0.948837209302326,0.958139534883721,0.930232558139535,0.953488372093023
"k=67",0.930232558139535,0.953488372093023,0.944186046511628,0.958139534883721,0.930232558139535,0.953488372093023
"k=68",0.925581395348837,0.948837209302326,0.944186046511628,0.958139534883721,0.930232558139535,0.948837209302326
"k=69",0.925581395348837,0.948837209302326,0.934883720930233,0.958139534883721,0.930232558139535,0.953488372093023
